logging to /Users/nadavminkowitz/neuron/neuron/results/activity2.tsv
one sample every 15s
recorded: app name, dwell, idle, notification COUNT, battery, audio, wifi
NOT recorded: window titles, URLs, keystrokes, clipboard, file names,
              screen contents, notification text

stop with Ctrl+C. Leave it running for a month.

  8440 samples, 13:28, Microsoft OneNote, idle 116s, notif 0
  8480 samples, 13:38, Microsoft OneNote, idle 43s, notif 0
  8520 samples, 13:48, Microsoft OneNote, idle 27s, notif 0
  8560 samples, 14:24, Microsoft OneNote, idle 0s, notif 0
  8600 samples, 14:34, Safari, idle 11s, notif 0
  8640 samples, 16:07, Safari, idle 34s, notif 0
  8680 samples, 16:17, Safari, idle 5s, notif 0
  8720 samples, 16:27, Safari, idle 0s, notif 0
  8760 samples, 16:46, Safari, idle 0s, notif 0
  8800 samples, 17:12, Safari, idle 21s, notif 0
  8840 samples, 17:28, Safari, idle 140s, notif 0
  8880 samples, 17:38, Finder, idle 31s, notif 0
  8920 samples, 17:57, Safari, idle 11s, notif 0
  8960 samples, 18:11, Safari, idle 35s, notif 0
  9000 samples, 22:25, Safari, idle 606s, notif 0
  9040 samples, 03:03, Safari, idle 1192s, notif 0
  9080 samples, 07:40, Safari, idle 1764s, notif 0
  9120 samples, 08:28, Safari, idle 93s, notif 0
  9160 samples, 08:45, Safari, idle 0s, notif 0
  9200 samples, 09:46, Safari, idle 0s, notif 0
  9240 samples, 09:56, Safari, idle 0s, notif 0
  9280 samples, 10:06, Safari, idle 16s, notif 0
  9320 samples, 10:43, Microsoft OneNote, idle 68s, notif 0
  9360 samples, 10:53, Safari, idle 2s, notif 0
  9400 samples, 11:03, Code, idle 336s, notif 0
  9440 samples, 11:35, Safari, idle 27s, notif 0
  9480 samples, 11:45, Code, idle 41s, notif 0
  9520 samples, 11:55, Code, idle 79s, notif 0
  9560 samples, 12:56, Code, idle 196s, notif 0
  9600 samples, 13:09, LockDown Browser, idle 0s, notif 0
  9640 samples, 13:19, LockDown Browser, idle 0s, notif 0
  9680 samples, 13:30, Music, idle 0s, notif 0
  9720 samples, 13:40, Safari, idle 0s, notif 0
  9760 samples, 13:56, Microsoft OneNote, idle 84s, notif 0
  9800 samples, 14:14, Microsoft OneNote, idle 19s, notif 0
  9840 samples, 14:24, Microsoft OneNote, idle 115s, notif 0
  9880 samples, 14:34, Safari, idle 109s, notif 0
  9920 samples, 20:57, Safari, idle 586s, notif 0
  9960 samples, 01:18, Safari, idle 1172s, notif 0
  10000 samples, 07:09, Safari, idle 1758s, notif 0
  10040 samples, 09:41, Safari, idle 1s, notif 0
  10080 samples, 09:51, Safari, idle 0s, notif 0
  10120 samples, 10:01, Safari, idle 14s, notif 0
  10160 samples, 10:11, Safari, idle 5s, notif 0
  10200 samples, 10:21, Safari, idle 0s, notif 0
  10240 samples, 10:31, Terminal, idle 0s, notif 0
  10280 samples, 10:41, Safari, idle 137s, notif 0
  10320 samples, 10:51, Safari, idle 160s, notif 0
  10360 samples, 11:01, Messages, idle 0s, notif 0
  10400 samples, 11:11, Safari, idle 23s, notif 0
  10440 samples, 11:21, Safari, idle 364s, notif 0
  10480 samples, 11:31, Safari, idle 264s, notif 0
  10520 samples, 11:41, Terminal, idle 0s, notif 0
  10560 samples, 11:51, Terminal, idle 2s, notif 0
